,precision,recall,f1-score,support
39249000,0.8509615384615384,0.885,0.8676470588235294,200.0
39259000,0.9178743961352657,0.95,0.9336609336609336,200.0
39263000,0.06837098692033294,0.575,0.12221041445270989,200.0
39269090,0.6224489795918368,0.61,0.6161616161616161,200.0
40082100,0.8826291079812206,0.94,0.910411622276029,200.0
40091100,0.8691099476439791,0.83,0.8491048593350383,200.0
40092200,0.8647058823529412,0.735,0.7945945945945946,200.0
40093100,0.9466666666666667,0.355,0.5163636363636364,200.0
40093200,0.8205128205128205,0.32,0.460431654676259,200.0
40103100,0.9488636363636364,0.835,0.8882978723404256,200.0
40103900,0.9157894736842105,0.87,0.8923076923076924,200.0
40151990,0.9313725490196079,0.95,0.9405940594059405,200.0
40169310,0.08931552587646077,0.535,0.1530758226037196,200.0
40169390,0.6831683168316832,0.69,0.6865671641791045,200.0
40169900,0.803921568627451,0.615,0.6968838526912181,200.0
4061020,1.0,1.0,1.0,200.0
42022210,0.765625,0.735,0.75,200.0
42022220,0.7897435897435897,0.77,0.779746835443038,200.0
42023210,0.8526315789473684,0.81,0.8307692307692308,200.0
42029210,0.7671957671957672,0.725,0.7455012853470437,200.0
42029220,0.7439613526570048,0.77,0.7567567567567568,200.0
42032900,0.9899497487437185,0.985,0.9874686716791979,200.0
44160010,1.0,1.0,1.0,200.0
48114110,0.9900990099009901,1.0,0.9950248756218906,200.0
48191010,0.9949748743718593,0.99,0.9924812030075187,200.0
48192010,0.9851485148514851,0.995,0.9900497512437811,200.0
48194000,0.985,0.985,0.985,200.0
49019939,0.943127962085308,0.995,0.9683698296836983,200.0
49019991,0.9789473684210527,0.93,0.9538461538461539,200.0
49070090,0.9849246231155779,0.98,0.9824561403508771,200.0
61013000,0.6105769230769231,0.635,0.6225490196078431,200.0
61023000,0.5089285714285714,0.57,0.5377358490566038,200.0
61034200,0.556390977443609,0.74,0.6351931330472103,200.0
61034300,0.54375,0.435,0.48333333333333334,200.0
61044300,0.49537037037037035,0.535,0.5144230769230769,200.0
61046200,0.7483443708609272,0.565,0.6438746438746439,200.0
61046300,0.48951048951048953,0.35,0.40816326530612246,200.0
61062000,0.5444015444015444,0.705,0.6143790849673203,200.0
61071100,0.8051948051948052,0.93,0.8631090487238979,200.0
61082100,0.7729257641921398,0.885,0.8251748251748252,200.0
61082200,0.7208333333333333,0.865,0.7863636363636364,200.0
61091000,0.6542553191489362,0.615,0.634020618556701,200.0
61099040,0.5797101449275363,0.4,0.47337278106508873,200.0
61099090,0.7219917012448133,0.87,0.7891156462585034,200.0
61102000,0.7814569536423841,0.59,0.6723646723646723,200.0
61103000,0.6035502958579881,0.51,0.5528455284552846,200.0
61112000,0.7630331753554502,0.805,0.7834549878345499,200.0
61113000,0.8403755868544601,0.895,0.8668280871670703,200.0
61121200,0.620253164556962,0.735,0.6727688787185355,200.0
61123100,0.7168949771689498,0.785,0.7494033412887828,200.0
