,precision,recall,f1-score,support
10051090,1.0,1.0,1.0,200.0
17049000,0.99,1.0,0.9949748743718593,198.0
18063100,0.9845360824742269,1.0,0.9922077922077922,191.0
18069000,1.0,0.9742268041237113,0.9869451697127938,194.0
19041000,1.0,0.9949494949494949,0.9974683544303797,198.0
19053100,0.9897435897435898,0.9897435897435898,0.9897435897435898,195.0
19059000,1.0,0.9948979591836735,0.9974424552429667,196.0
20041000,1.0,1.0,1.0,199.0
21021000,1.0,1.0,1.0,195.0
21031000,0.99,1.0,0.9949748743718593,198.0
21039020,0.98989898989899,1.0,0.9949238578680203,196.0
21039090,0.9946236559139785,0.9788359788359788,0.9866666666666667,189.0
21069000,0.9947368421052631,0.9947368421052631,0.9947368421052631,190.0
22021010,1.0,1.0,1.0,200.0
22030000,1.0,1.0,1.0,189.0
24022000,1.0,1.0,1.0,200.0
25232900,1.0,1.0,1.0,199.0
27101964,0.9844559585492227,1.0,0.9921671018276762,190.0
27101966,1.0,1.0,1.0,195.0
29025000,1.0,1.0,1.0,199.0
29349990,0.9607843137254902,0.9949238578680203,0.9775561097256857,197.0
30021210,0.9362745098039216,0.9794871794871794,0.9573934837092731,195.0
30043910,0.9948979591836735,0.9848484848484849,0.9898477157360406,198.0
30049029,0.9946808510638298,0.9842105263157894,0.9894179894179894,190.0
30049092,0.9787234042553191,1.0,0.989247311827957,184.0
30059020,0.9595959595959596,1.0,0.979381443298969,190.0
30059090,0.9945945945945946,0.983957219251337,0.989247311827957,187.0
30061051,0.975609756097561,1.0,0.9876543209876543,200.0
30061059,1.0,0.9798994974874372,0.9898477157360406,199.0
30064020,1.0,1.0,1.0,200.0
30069100,0.9950248756218906,1.0,0.9975062344139651,200.0
32041700,0.9895833333333334,0.979381443298969,0.9844559585492227,194.0
32064900,0.983957219251337,0.989247311827957,0.9865951742627346,186.0
32141000,0.9897435897435898,1.0,0.9948453608247423,193.0
32151100,0.985,1.0,0.9924433249370277,197.0
32151900,0.9842931937172775,0.9947089947089947,0.9894736842105263,189.0
33021000,0.9949748743718593,0.9949748743718593,0.9949748743718593,199.0
33030010,0.8831168831168831,0.8553459119496856,0.8690095846645367,159.0
33030020,0.8353658536585366,0.8838709677419355,0.8589341692789969,155.0
33041000,0.9893617021276596,0.9738219895287958,0.9815303430079155,191.0
33042000,0.9781420765027322,0.9675675675675676,0.9728260869565217,185.0
33043020,0.9949748743718593,0.9949748743718593,0.9949748743718593,199.0
33049100,0.8793103448275862,0.9870967741935484,0.9300911854103343,155.0
33049970,0.9946808510638298,0.9894179894179894,0.9920424403183024,189.0
33049980,0.8823529411764706,0.9433962264150944,0.9118541033434651,159.0
33049990,0.9074074074074074,0.725925925925926,0.8065843621399177,135.0
33051010,0.9545454545454546,0.9491525423728814,0.9518413597733711,177.0
33059020,0.8380281690140845,0.8439716312056738,0.8409893992932862,141.0
33059030,0.9893048128342246,0.9893048128342246,0.9893048128342246,187.0
33059090,0.8741721854304636,0.8859060402684564,0.88,149.0
33069010,1.0,1.0,1.0,200.0
33071090,1.0,0.9948979591836735,0.9974424552429667,196.0
33072010,1.0,0.9746192893401016,0.987146529562982,197.0
33072090,0.9627659574468085,1.0,0.981029810298103,181.0
34011100,0.9800995024875622,0.9899497487437185,0.985,199.0
34013000,0.9891304347826086,0.9732620320855615,0.9811320754716981,187.0
34029000,0.989247311827957,0.9945945945945946,0.9919137466307277,185.0
38210000,0.9947916666666666,0.9845360824742269,0.9896373056994818,194.0
38221300,0.9795918367346939,0.9795918367346939,0.9795918367346939,196.0
38221900,0.9444444444444444,0.8947368421052632,0.918918918918919,171.0
38229000,0.9565217391304348,0.9617486338797814,0.9591280653950953,183.0
38249999,1.0,0.9888268156424581,0.9943820224719101,179.0
39012000,0.9950248756218906,1.0,0.9975062344139651,200.0
39069000,0.9946236559139785,0.9893048128342246,0.9919571045576407,187.0
39191020,1.0,1.0,1.0,196.0
39201010,1.0,0.9949748743718593,0.9974811083123426,199.0
39231010,0.9444444444444444,0.9216867469879518,0.9329268292682927,166.0
39233090,0.9712643678160919,0.9388888888888889,0.9548022598870056,180.0
39235010,0.9777777777777777,0.9777777777777777,0.9777777777777777,180.0
39239090,0.9526627218934911,0.9640718562874252,0.9583333333333334,167.0
39241000,0.9510869565217391,0.9615384615384616,0.9562841530054644,182.0
39249000,0.8932584269662921,0.9520958083832335,0.9217391304347826,167.0
39259000,0.9891304347826086,0.994535519125683,0.9918256130790191,183.0
39263000,0.9285714285714286,0.9285714285714286,0.9285714285714286,28.0
39269090,0.8444444444444444,0.7835051546391752,0.8128342245989305,97.0
40082100,0.9508196721311475,1.0,0.9747899159663865,174.0
40091100,0.9790209790209791,0.9790209790209791,0.9790209790209791,143.0
40092200,1.0,0.951048951048951,0.974910394265233,143.0
40093100,0.9571428571428572,0.9710144927536232,0.9640287769784173,69.0
40093200,0.9347826086956522,1.0,0.9662921348314607,43.0
40103100,0.9696969696969697,0.975609756097561,0.9726443768996961,164.0
40103900,0.9763313609467456,0.9593023255813954,0.967741935483871,172.0
40151990,0.9682539682539683,0.973404255319149,0.9708222811671088,188.0
40169310,0.9142857142857143,0.8648648648648649,0.8888888888888888,37.0
40169390,0.8807339449541285,0.8135593220338984,0.8458149779735683,118.0
40169900,0.9074074074074074,0.9333333333333333,0.92018779342723,105.0
4061020,1.0,1.0,1.0,199.0
42022210,0.9029850746268657,0.8897058823529411,0.8962962962962963,136.0
42022220,0.9328358208955224,0.9259259259259259,0.929368029739777,135.0
42023210,0.9363057324840764,0.930379746835443,0.9333333333333333,158.0
42029210,0.923728813559322,0.8790322580645161,0.9008264462809917,124.0
42029220,0.8721804511278195,0.8854961832061069,0.8787878787878788,131.0
42032900,0.9949238578680203,0.98989898989899,0.9924050632911392,198.0
44160010,1.0,1.0,1.0,200.0
48114110,0.9949748743718593,1.0,0.9974811083123426,198.0
48191010,1.0,0.9949238578680203,0.9974554707379135,197.0
48192010,1.0,1.0,1.0,193.0
48194000,1.0,1.0,1.0,194.0
49019939,0.9897959183673469,1.0,0.9948717948717949,194.0
49019991,0.9886363636363636,0.9830508474576272,0.9858356940509915,177.0
49070090,0.9948979591836735,0.9848484848484849,0.9898477157360406,198.0
61013000,0.9454545454545454,0.8666666666666667,0.9043478260869565,60.0
61023000,0.8840579710144928,0.8356164383561644,0.8591549295774648,73.0
61034200,0.7407407407407407,0.9090909090909091,0.8163265306122449,110.0
61034300,0.8979591836734694,0.7719298245614035,0.8301886792452831,57.0
61044300,0.734375,0.7704918032786885,0.752,61.0
61046200,0.9078947368421053,0.69,0.7840909090909091,100.0
61046300,0.7627118644067796,0.6818181818181818,0.72,66.0
61062000,0.8780487804878049,0.9642857142857143,0.9191489361702128,112.0
61071100,0.8865979381443299,0.9555555555555556,0.9197860962566845,180.0
61082100,0.8361581920903954,0.9673202614379085,0.896969696969697,153.0
61082200,0.8857142857142857,0.9538461538461539,0.9185185185185185,130.0
61091000,0.8303571428571429,0.8230088495575221,0.8266666666666667,113.0
61099040,0.9027777777777778,0.8552631578947368,0.8783783783783784,76.0
61099090,0.9135802469135802,0.9673202614379085,0.9396825396825397,153.0
61102000,0.9629629629629629,0.7647058823529411,0.8524590163934426,136.0
61103000,0.88,0.7951807228915663,0.8354430379746836,83.0
61112000,0.9689922480620154,0.8620689655172413,0.9124087591240876,145.0
61113000,0.9506172839506173,0.9685534591194969,0.9595015576323987,159.0
61121200,0.9203539823008849,0.9719626168224299,0.9454545454545454,107.0
61123100,0.9769230769230769,0.9477611940298507,0.9621212121212122,134.0
61124100,0.9380530973451328,0.9464285714285714,0.9422222222222222,112.0
61130000,0.9788359788359788,1.0,0.9893048128342246,185.0
61143000,0.9345794392523364,0.9090909090909091,0.9216589861751152,110.0
61151000,0.9944444444444445,0.988950276243094,0.9916897506925207,181.0
61152200,0.8581560283687943,0.9453125,0.8996282527881041,128.0
61152900,0.89171974522293,0.9271523178807947,0.9090909090909091,151.0
61159500,0.9423076923076923,0.9607843137254902,0.9514563106796117,153.0
61159600,0.958904109589041,0.9655172413793104,0.9621993127147767,145.0
61161000,0.9473684210526315,0.9836065573770492,0.9651474530831099,183.0
61169300,0.9083333333333333,0.8934426229508197,0.9008264462809917,122.0
61178000,0.9586206896551724,0.952054794520548,0.9553264604810997,146.0
62014000,0.90625,0.9354838709677419,0.9206349206349206,93.0
62024000,0.9253731343283582,0.8732394366197183,0.8985507246376812,71.0
62034210,0.8509316770186336,0.9647887323943662,0.9042904290429042,142.0
62034290,0.9212598425196851,0.9140625,0.9176470588235294,128.0
62034300,0.9210526315789473,0.8898305084745762,0.9051724137931034,118.0
62043300,0.8169014084507042,0.7160493827160493,0.7631578947368421,81.0
62044200,0.8301886792452831,0.6875,0.7521367521367521,64.0
62044300,0.6,0.6470588235294118,0.6226415094339622,51.0
62045300,0.7285714285714285,0.75,0.7391304347826086,68.0
62046210,0.8586956521739131,0.8681318681318682,0.8633879781420765,91.0
62046290,0.875,0.7887323943661971,0.8296296296296296,71.0
62046310,0.8863636363636364,0.896551724137931,0.8914285714285715,87.0
62046900,0.7848101265822784,0.9185185185185185,0.8464163822525598,135.0
62052000,0.9560439560439561,0.8969072164948454,0.925531914893617,97.0
62063000,0.7162162162162162,0.7794117647058824,0.7464788732394366,68.0
62064000,0.7142857142857143,0.6896551724137931,0.7017543859649122,58.0
62104000,0.9612903225806452,0.9675324675324676,0.9644012944983819,154.0
62105000,0.9754601226993865,0.9578313253012049,0.9665653495440729,166.0
62113300,0.918918918918919,0.9357798165137615,0.9272727272727272,109.0
62114300,0.8947368421052632,0.6623376623376623,0.7611940298507462,77.0
62121020,0.9130434782608695,0.7706422018348624,0.835820895522388,109.0
62122000,0.9668508287292817,1.0,0.9831460674157303,175.0
63079090,0.9823529411764705,0.9653179190751445,0.9737609329446064,173.0
64019200,0.9895833333333334,0.9947643979057592,0.9921671018276762,191.0
64021900,0.9289940828402367,0.9401197604790419,0.9345238095238095,167.0
64029190,0.930635838150289,0.9583333333333334,0.9442815249266863,168.0
64029910,0.9659090909090909,0.96045197740113,0.9631728045325779,177.0
64029990,0.8875,0.8875,0.8875,160.0
64031900,0.9623655913978495,0.9675675675675676,0.9649595687331537,185.0
64034000,0.9949748743718593,1.0,0.9974811083123426,198.0
64039990,0.9739583333333334,0.9790575916230366,0.9765013054830287,191.0
64041100,0.9612903225806452,0.9030303030303031,0.93125,165.0
64041900,0.9085714285714286,0.9244186046511628,0.9164265129682997,172.0
64069000,0.983957219251337,1.0,0.9919137466307277,184.0
65050000,0.9782608695652174,0.9246575342465754,0.9507042253521126,146.0
65061000,0.9550561797752809,0.9883720930232558,0.9714285714285714,172.0
68042100,0.9895833333333334,1.0,0.9947643979057592,190.0
68042210,1.0,0.9949238578680203,0.9974554707379135,197.0
70071100,1.0,0.9887640449438202,0.9943502824858758,89.0
70072100,0.9819819819819819,1.0,0.990909090909091,109.0
70091000,0.95,0.9743589743589743,0.9620253164556962,39.0
71171920,0.9788359788359788,0.9685863874345549,0.9736842105263158,191.0
71171990,0.967741935483871,0.9782608695652174,0.972972972972973,184.0
72193300,0.9265536723163842,0.9704142011834319,0.9479768786127167,169.0
72193400,0.9655172413793104,0.9281767955801105,0.9464788732394366,181.0
72254000,1.0,1.0,1.0,200.0
73043900,0.9875,0.9937106918238994,0.9905956112852664,159.0
73065000,1.0,1.0,1.0,199.0
73072100,0.9261744966442953,0.8846153846153846,0.9049180327868852,156.0
73072300,0.9744897959183674,0.9896373056994818,0.9820051413881749,193.0
73072900,0.8888888888888888,0.8682170542635659,0.8784313725490196,129.0
73079100,0.9069767441860465,0.975,0.9397590361445783,80.0
73079200,0.9181818181818182,0.9805825242718447,0.9483568075117371,103.0
73079900,0.9193548387096774,0.7402597402597403,0.8201438848920863,77.0
73089000,0.9779005524861878,0.9672131147540983,0.9725274725274725,183.0
73121010,0.9573170731707317,0.98125,0.9691358024691358,160.0
73151100,0.9890710382513661,0.9627659574468085,0.9757412398921833,188.0
73181500,0.7272727272727273,0.897196261682243,0.803347280334728,107.0
73181600,0.9692307692307692,0.6237623762376238,0.7590361445783133,101.0
73182100,0.9444444444444444,0.7472527472527473,0.8343558282208589,91.0
73182200,0.8313253012048193,0.69,0.7540983606557377,100.0
73182400,0.6346153846153846,0.9166666666666666,0.75,72.0
73182900,0.9302325581395349,0.5882352941176471,0.7207207207207207,68.0
73202000,0.9607843137254902,0.9702970297029703,0.9655172413793104,101.0
73239300,0.9786096256684492,0.9786096256684492,0.9786096256684492,187.0
73261900,0.9354838709677419,0.8130841121495327,0.87,107.0
73269000,0.8904109589041096,0.8125,0.8496732026143791,80.0
76072010,1.0,1.0,1.0,199.0
76129000,1.0,0.9797979797979798,0.9897959183673469,198.0
76151000,0.9896373056994818,0.9947916666666666,0.9922077922077922,192.0
76169990,0.9666666666666667,0.9508196721311475,0.9586776859504132,183.0
82023900,1.0,0.9949238578680203,0.9974554707379135,197.0
82032000,0.9244186046511628,0.9636363636363636,0.9436201780415431,165.0
82055900,0.9652173913043478,0.9098360655737705,0.9367088607594937,122.0
82071390,0.9891304347826086,0.9680851063829787,0.978494623655914,188.0
82071990,0.956989247311828,0.9834254143646409,0.9700272479564033,181.0
82075010,0.9424083769633508,0.967741935483871,0.9549071618037135,186.0
82075090,0.9880952380952381,0.9378531073446328,0.9623188405797102,177.0
82079000,0.9725274725274725,0.9888268156424581,0.9806094182825484,179.0
82089000,0.9182389937106918,0.8795180722891566,0.8984615384615384,166.0
82090000,0.9947916666666666,1.0,0.9973890339425587,191.0
82142000,0.9719101123595506,0.9719101123595506,0.9719101123595506,178.0
83014000,0.9714285714285714,0.96045197740113,0.9659090909090909,177.0
83021000,0.945054945054945,0.8958333333333334,0.9197860962566845,96.0
83023000,0.835820895522388,0.9180327868852459,0.875,61.0
83024900,0.9754098360655737,0.9596774193548387,0.967479674796748,124.0
83071000,0.9262295081967213,0.9658119658119658,0.9456066945606695,117.0
83112000,1.0,0.995,0.9974937343358395,200.0
84099190,0.9130434782608695,0.9545454545454546,0.9333333333333333,44.0
84099990,0.8333333333333334,0.873015873015873,0.8527131782945736,63.0
84122100,0.9281437125748503,0.9393939393939394,0.9337349397590361,165.0
84122900,0.98,0.9607843137254902,0.9702970297029703,153.0
84123100,0.9591836734693877,0.9463087248322147,0.9527027027027027,149.0
84129000,0.9056603773584906,0.9664429530201343,0.935064935064935,149.0
84133090,0.8518518518518519,0.7796610169491526,0.8141592920353983,59.0
84135000,0.9929078014184397,0.958904109589041,0.975609756097561,146.0
84136000,0.9862068965517241,0.9407894736842105,0.9629629629629629,152.0
84137000,0.9857142857142858,0.9387755102040817,0.9616724738675958,147.0
84138100,0.7904761904761904,0.8556701030927835,0.8217821782178217,97.0
84139100,0.9012345679012346,0.9605263157894737,0.9299363057324841,152.0
84145900,0.8468468468468469,0.8867924528301887,0.8663594470046083,106.0
84148090,0.9743589743589743,0.926829268292683,0.95,123.0
84149000,0.912751677852349,0.9006622516556292,0.9066666666666666,151.0
84159000,0.9319727891156463,0.9785714285714285,0.9547038327526133,140.0
84185000,0.9593908629441624,1.0,0.9792746113989638,189.0
84189900,0.9302325581395349,0.9580838323353293,0.943952802359882,167.0
84199090,0.9542857142857143,0.9709302325581395,0.962536023054755,172.0
84212100,0.9813664596273292,0.9937106918238994,0.9875,159.0
84212300,0.8349514563106796,0.8514851485148515,0.8431372549019608,101.0
84212990,0.8461538461538461,0.9603174603174603,0.8996282527881041,126.0
84213110,0.9306930693069307,0.9690721649484536,0.9494949494949495,97.0
84213190,0.8402777777777778,0.9097744360902256,0.8736462093862816,133.0
84213900,0.9035087719298246,0.9363636363636364,0.9196428571428571,110.0
84219900,0.9142857142857143,0.9142857142857143,0.9142857142857143,140.0
84229000,0.7019867549668874,0.9137931034482759,0.7940074906367042,116.0
84312000,0.9405940594059405,1.0,0.9693877551020408,190.0
84313100,0.961352657004831,1.0,0.9802955665024631,199.0
84314320,0.8823529411764706,0.4166666666666667,0.5660377358490566,36.0
84314390,0.9145299145299145,0.9067796610169492,0.9106382978723404,118.0
84314900,0.8113207547169812,0.9347826086956522,0.8686868686868687,46.0
84389000,0.9655172413793104,0.9824561403508771,0.9739130434782609,171.0
84433110,0.9742268041237113,0.9792746113989638,0.9767441860465116,193.0
84433120,0.9746192893401016,0.9846153846153847,0.9795918367346939,195.0
84433900,0.9948453608247423,0.9897435897435898,0.9922879177377892,195.0
84439100,0.93,1.0,0.9637305699481865,186.0
84439930,0.9891304347826086,0.978494623655914,0.9837837837837838,186.0
84439990,0.9411764705882353,0.9580838323353293,0.9495548961424333,167.0
84661000,0.9932432432432432,0.9735099337748344,0.9832775919732442,151.0
84669300,0.9793103448275862,0.9793103448275862,0.9793103448275862,145.0
84672110,0.9482758620689655,0.9763313609467456,0.9620991253644315,169.0
84672220,0.9840425531914894,1.0,0.9919571045576407,185.0
84672920,0.978021978021978,0.9726775956284153,0.9753424657534246,183.0
84672990,1.0,0.9580838323353293,0.9785932721712538,167.0
