,precision,recall,f1-score,support
33059090,0.6705336426914154,0.7225,0.6955475330926595,400.0
33069010,0.9975062344139651,1.0,0.9987515605493134,400.0
33071090,0.9692307692307692,0.945,0.9569620253164557,400.0
33072010,0.9702970297029703,0.98,0.9751243781094527,400.0
33072090,0.888631090487239,0.9575,0.9217809867629362,400.0
34011100,0.948780487804878,0.9725,0.9604938271604938,400.0
34013000,0.9497354497354498,0.8975,0.922879177377892,400.0
34029000,0.8891625615763546,0.9025,0.8957816377171216,400.0
38210000,0.9433497536945813,0.9575,0.9503722084367245,400.0
38221300,0.9444444444444444,0.9775,0.9606879606879607,400.0
38221900,0.8774193548387097,0.68,0.7661971830985915,400.0
38229000,0.8261851015801355,0.915,0.8683274021352313,400.0
38249999,0.8682795698924731,0.8075,0.8367875647668394,400.0
39012000,0.9659367396593674,0.9925,0.9790382244143033,400.0
39069000,0.9545454545454546,0.945,0.949748743718593,400.0
39191020,0.9974937343358395,0.995,0.9962453066332916,400.0
39201010,0.9681372549019608,0.9875,0.9777227722772277,400.0
39231010,0.8529411764705882,0.87,0.8613861386138614,400.0
39233090,0.8918205804749341,0.845,0.8677792041078306,400.0
39235010,0.8514588859416445,0.8025,0.8262548262548263,400.0
39239090,0.784688995215311,0.82,0.8019559902200489,400.0
39241000,0.9086021505376344,0.845,0.8756476683937824,400.0
39249000,0.7445414847161572,0.8525,0.7948717948717948,400.0
39259000,0.9432098765432099,0.955,0.9490683229813665,400.0
39263000,0.2746478873239437,0.195,0.22807017543859648,400.0
39269090,0.5654952076677316,0.4425,0.4964936886395512,400.0
40082100,0.9186602870813397,0.96,0.9388753056234719,400.0
40091100,0.8162729658792651,0.7775,0.7964148527528809,400.0
40092200,0.43846153846153846,0.855,0.5796610169491525,400.0
40093100,0.8235294117647058,0.28,0.417910447761194,400.0
40093200,0.09350393700787402,0.7125,0.16531322505800464,400.0
40103100,0.9560117302052786,0.815,0.8798920377867746,400.0
40103900,0.8459595959595959,0.8375,0.8417085427135679,400.0
40151990,0.9384236453201971,0.9525,0.9454094292803971,400.0
40169310,0.08141891891891892,0.6025,0.14345238095238094,400.0
40169390,0.6684073107049608,0.64,0.6538952745849298,400.0
40169900,0.7534722222222222,0.5425,0.6308139534883721,400.0
4061020,0.9898734177215189,0.9775,0.9836477987421384,400.0
42022210,0.681592039800995,0.685,0.683291770573566,400.0
42022220,0.6673728813559322,0.7875,0.7224770642201835,400.0
42023210,0.7475,0.7475,0.7475,400.0
42029210,0.7028571428571428,0.615,0.656,400.0
42029220,0.76,0.665,0.7093333333333334,400.0
42032900,0.9609756097560975,0.985,0.9728395061728395,400.0
44160010,0.9753694581280788,0.99,0.9826302729528535,400.0
48114110,0.9872448979591837,0.9675,0.9772727272727273,400.0
48191010,0.9436274509803921,0.9625,0.9529702970297029,400.0
48192010,0.9792746113989638,0.945,0.9618320610687023,400.0
48194000,0.9622166246851386,0.955,0.958594730238394,400.0
49019939,0.9090909090909091,0.95,0.9290953545232273,400.0
49019991,0.9149484536082474,0.8875,0.9010152284263959,400.0
49070090,0.9948453608247423,0.965,0.9796954314720813,400.0
61013000,0.4190687361419069,0.4725,0.44418331374853115,400.0
61023000,0.43730886850152906,0.3575,0.39339752407152684,400.0
61034200,0.5895372233400402,0.7325,0.653288740245262,400.0
61034300,0.377431906614786,0.2425,0.2952815829528158,400.0
61044300,0.41480206540447506,0.6025,0.49133537206931704,400.0
61046200,0.6355685131195336,0.545,0.5868102288021534,400.0
61046300,0.4697674418604651,0.2525,0.3284552845528455,400.0
61062000,0.5093023255813953,0.5475,0.5277108433734939,400.0
61071100,0.8036117381489842,0.89,0.8446026097271648,400.0
61082100,0.6993987975951904,0.8725,0.7764182424916574,400.0
61082200,0.6228893058161351,0.83,0.7116827438370846,400.0
61091000,0.6229050279329609,0.5575,0.5883905013192612,400.0
61099040,0.3885542168674699,0.3225,0.3524590163934426,400.0
61099090,0.7337662337662337,0.8475,0.7865429234338747,400.0
61102000,0.9051724137931034,0.525,0.6645569620253164,400.0
61103000,0.41721854304635764,0.4725,0.44314185228604924,400.0
61112000,0.7645739910313901,0.8525,0.806146572104019,400.0
61113000,0.7695852534562212,0.835,0.8009592326139089,400.0
61121200,0.49678800856531047,0.58,0.5351787773933102,400.0
61123100,0.6385809312638581,0.72,0.6768507638072856,400.0
61124100,0.5965665236051502,0.695,0.6420323325635104,400.0
61130000,0.9396984924623115,0.935,0.9373433583959899,400.0
61143000,0.7827868852459017,0.4775,0.593167701863354,400.0
61151000,0.9416243654822335,0.9275,0.9345088161209067,400.0
61152200,0.5335628227194492,0.775,0.6320081549439348,400.0
61152900,0.7559241706161137,0.7975,0.7761557177615572,400.0
61159500,0.7860576923076923,0.8175,0.8014705882352942,400.0
61159600,0.660377358490566,0.7,0.6796116504854369,400.0
61161000,0.8983050847457628,0.9275,0.9126691266912669,400.0
61169300,0.6264501160092807,0.675,0.6498194945848376,400.0
61178000,0.7534626038781164,0.68,0.7148488830486203,400.0
62014000,0.5862884160756501,0.62,0.6026731470230863,400.0
62024000,0.5164835164835165,0.47,0.49214659685863876,400.0
62034210,0.6026365348399246,0.8,0.6874328678839957,400.0
62034290,0.7062314540059347,0.595,0.6458616010854816,400.0
62034300,0.652027027027027,0.4825,0.5545977011494253,400.0
62043300,0.376940133037694,0.425,0.399529964747356,400.0
62044200,0.5152838427947598,0.295,0.3751987281399046,400.0
62044300,0.300556586270872,0.405,0.3450479233226837,400.0
62045300,0.4329896907216495,0.21,0.2828282828282828,400.0
62046210,0.5591647331786543,0.6025,0.5800240673886883,400.0
62046290,0.4613466334164589,0.4625,0.46192259675405745,400.0
62046310,0.45108695652173914,0.6225,0.523109243697479,400.0
62046900,0.5745033112582781,0.8675,0.6912350597609562,400.0
62052000,0.4774951076320939,0.61,0.535675082327113,400.0
62063000,0.5828025477707006,0.4575,0.5126050420168067,400.0
62064000,0.36656891495601174,0.3125,0.33738191632928477,400.0
62104000,0.7944862155388471,0.7925,0.7934918648310388,400.0
62105000,0.8685567010309279,0.8425,0.8553299492385786,400.0
62113300,0.6869158878504673,0.735,0.7101449275362319,400.0
62114300,0.4700854700854701,0.1375,0.2127659574468085,400.0
62121020,0.5539906103286385,0.295,0.38499184339314846,400.0
62122000,0.927860696517413,0.9325,0.9301745635910225,400.0
63079090,0.8395061728395061,0.85,0.84472049689441,400.0
64019200,0.9534313725490197,0.9725,0.9628712871287128,400.0
64021900,0.8737113402061856,0.8475,0.8604060913705583,400.0
64029190,0.8675324675324675,0.835,0.8509554140127389,400.0
64029910,0.9033816425120773,0.935,0.918918918918919,400.0
64029990,0.7888040712468194,0.775,0.7818411097099621,400.0
64031900,0.9467005076142132,0.9325,0.9395465994962217,400.0
64034000,0.9777777777777777,0.99,0.9838509316770186,400.0
64039990,0.945273631840796,0.95,0.9476309226932669,400.0
64041100,0.9098360655737705,0.8325,0.8694516971279374,400.0
64041900,0.8422330097087378,0.8675,0.854679802955665,400.0
64069000,0.7770961145194274,0.95,0.8548931383577053,400.0
65050000,0.8483965014577259,0.7275,0.7833109017496636,400.0
65061000,0.7459349593495935,0.9175,0.8228699551569507,400.0
68042100,0.9727047146401985,0.98,0.9763387297633873,400.0
68042210,0.9949622166246851,0.9875,0.9912170639899623,400.0
70071100,0.555984555984556,0.36,0.4370257966616085,400.0
70072100,0.5883838383838383,0.5825,0.585427135678392,400.0
70091000,0.7583333333333333,0.2275,0.35,400.0
71171920,0.961038961038961,0.925,0.9426751592356688,400.0
71171990,0.9070904645476773,0.9275,0.9171817058096415,400.0
72193300,0.9609756097560975,0.985,0.9728395061728395,400.0
72193400,0.9872122762148338,0.965,0.9759797724399494,400.0
72254000,0.9975,0.9975,0.9975,400.0
73043900,0.8405063291139241,0.83,0.8352201257861636,400.0
73065000,1.0,0.9925,0.9962358845671268,400.0
73072100,0.7341176470588235,0.78,0.7563636363636363,400.0
73072300,0.9617346938775511,0.9425,0.952020202020202,400.0
73072900,0.6336898395721925,0.5925,0.6124031007751938,400.0
73079100,0.5454545454545454,0.735,0.6261980830670927,400.0
73079200,0.6476683937823834,0.625,0.6361323155216285,400.0
73079900,0.46355685131195334,0.3975,0.42799461641991926,400.0
73089000,0.8656716417910447,0.87,0.8678304239401496,400.0
73121010,0.7612244897959184,0.9325,0.8382022471910112,400.0
73151100,0.9315789473684211,0.885,0.9076923076923077,400.0
73181500,0.6710097719869706,0.515,0.5827439886845828,400.0
73181600,0.7807017543859649,0.445,0.5668789808917197,400.0
73182100,0.47381546134663344,0.475,0.47440699126092384,400.0
73182200,0.7470588235294118,0.3175,0.4456140350877193,400.0
73182400,0.5011933174224343,0.525,0.5128205128205128,400.0
73182900,0.5434782608695652,0.25,0.3424657534246575,400.0
73202000,0.810077519379845,0.5225,0.6352583586626139,400.0
73239300,0.9689922480620154,0.9375,0.9529860228716646,400.0
73261900,0.5426829268292683,0.445,0.489010989010989,400.0
73269000,0.6565656565656566,0.325,0.43478260869565216,400.0
76072010,1.0,0.9875,0.9937106918238994,400.0
76129000,0.9949238578680203,0.98,0.9874055415617129,400.0
76151000,0.979746835443038,0.9675,0.9735849056603774,400.0
76169990,0.9129353233830846,0.9175,0.9152119700748129,400.0
82023900,0.9773299748110831,0.97,0.973651191969887,400.0
82032000,0.8206896551724138,0.8925,0.8550898203592814,400.0
82055900,0.7400611620795107,0.605,0.6657496561210454,400.0
82071390,0.9714285714285714,0.935,0.9528662420382166,400.0
82071990,0.8903061224489796,0.8725,0.8813131313131313,400.0
82075010,0.875,0.875,0.875,400.0
82075090,0.7360515021459227,0.8575,0.792147806004619,400.0
82079000,0.8946015424164524,0.87,0.8821292775665399,400.0
82089000,0.7123287671232876,0.78,0.7446300715990454,400.0
82090000,0.9796437659033079,0.9625,0.9709962168978562,400.0
82142000,0.945679012345679,0.9575,0.9515527950310559,400.0
83014000,0.9010416666666666,0.865,0.8826530612244898,400.0
83021000,0.6164874551971327,0.43,0.5066273932253313,400.0
83023000,0.5536723163841808,0.245,0.3396880415944541,400.0
83024900,0.7033248081841432,0.6875,0.695322376738306,400.0
83071000,0.5181451612903226,0.6425,0.5736607142857143,400.0
